_ID,TimeSt,Country,Province,City,Latitude,Longitude
4516516,00:00.1,CA,ON,Waterloo,43.49347,-80.49123
4516547,00:00.2,CA,ON,London,42.9399,-81.2709
4516550,00:00.3,CA,ON,Guelph,43.5776,-80.2201
4516600,00:00.3,CA,ON,Stratford,43.3716,-80.9773
4516613,00:00.5,CA,ON,Stratford,43.3716,-80.9773
4516693,00:00.6,CA,ON,Kitchener,43.4381,-80.5099
4516771,00:00.9,CA,ON,Sarnia,42.961,-82.373
4516831,00:00.9,CA,ON,London,43.0091,-81.1765
4516915,00:01.3,CA,ON,London,43.0091,-81.1765
4516953,00:01.7,CA,ON,Kitchener,43.4278,-80.5135
4516966,00:01.8,CA,ON,Kitchener,43.4381,-80.5099
4517044,00:00.3,CA,ON,Windsor,42.2825,-83.0372
4517047,00:00.9,CA,ON,London,43.0091,-81.1765
4517081,00:00.8,CA,ON,Windsor,42.24397,-82.98058
4517175,00:01.1,CA,ON,Saint Thomas,42.7792,-81.1927
4517220,00:01.2,CA,ON,Waterloo,43.4634,-80.5201
4517250,00:01.4,CA,ON,Chatham,42.4247,-82.1755
4517303,00:00.3,CA,ON,Windsor,42.2957,-82.9599
4517326,00:00.4,CA,ON,Guelph,43.5425,-80.2676
4517347,00:00.3,CA,ON,Windsor,42.2957,-82.9599
4517349,00:00.4,CA,ON,Chatham,42.4247,-82.1755
4517420,00:00.4,CA,ON,Guelph,43.5215,-80.2338
4517466,00:01.2,CA,ON,Waterloo,43.4678,-80.584
4517518,00:01.3,CA,ON,Waterloo,43.4634,-80.5201
4517538,00:01.4,CA,ON,Kitchener,43.4453,-80.4905
4517607,00:01.6,CA,ON,Chatham,42.4247,-82.1755
4517697,00:01.8,CA,ON,Windsor,42.3262,-82.9084
4517720,00:01.8,CA,ON,Kitchener,43.4397,-80.434
4517809,00:00.0,CA,ON,London,43.0346,-81.2554
4517811,00:00.1,CA,ON,Cambridge,43.4194,-80.3255
4517905,00:00.2,CA,ON,Windsor,42.2957,-82.9599
4517999,00:00.6,CA,ON,Kitchener,43.4553,-80.4845
4518000,00:00.7,CA,ON,Kitchener,43.4676,-80.4847
4518002,00:00.9,CA,ON,Kitchener,43.4397,-80.434
4518061,00:01.1,CA,ON,Waterloo,43.4678,-80.584
4518130,00:01.3,CA,ON,London,43.0004,-81.2343
4518153,00:01.4,CA,ON,Guelph,43.5425,-80.2676
4518179,00:00.7,CA,ON,Kitchener,43.4676,-80.4847
4518212,00:01.4,CA,ON,Kitchener,43.4278,-80.5135
4518264,00:01.5,CA,ON,Cambridge,43.3842,-80.2968
4518329,00:01.8,CA,ON,London,42.9399,-81.2709
4518395,00:02.1,CA,ON,Windsor,42.2908,-82.987
4518430,00:02.5,CA,ON,Brantford,43.1772,-80.248
4518434,00:02.6,CA,ON,Guelph,43.5776,-80.2201
4518512,00:02.8,CA,ON,London,42.9611,-81.2431
4518585,00:02.8,CA,ON,Guelph,43.5776,-80.2201
4518676,00:02.9,CA,ON,Kitchener,43.4397,-80.434
4518758,00:02.9,CA,ON,Kitchener,43.4397,-80.434
4518814,00:03.8,CA,ON,Cambridge,43.3842,-80.2968
4518832,00:03.9,CA,ON,Kitchener,43.4397,-80.434
4518887,00:04.0,CA,ON,Waterloo,43.4634,-80.5201
4518918,00:04.2,CA,ON,London,42.9399,-81.2709
4518952,00:00.2,CA,ON,Kitchener,43.4193,-80.3826
4518992,00:00.4,CA,ON,Waterloo,43.4678,-80.584
4519004,00:00.7,CA,ON,Tillsonburg,42.86185,-80.72991
4519038,00:00.8,CA,ON,Windsor,42.2287,-83.0182
4519066,00:00.7,CA,ON,Tillsonburg,42.86185,-80.72991
4519097,00:00.8,CA,ON,London,42.9399,-81.2709
4519118,00:00.9,CA,ON,Windsor,42.2287,-83.0182
4519156,00:01.0,CA,ON,Windsor,42.2287,-83.0182
4519209,00:01.3,CA,ON,Hanover,44.1517,-81.0266
4519287,00:01.4,CA,ON,Kitchener,43.3904,-80.4317
4519378,00:02.3,CA,ON,Kitchener,43.4397,-80.434
4519477,00:02.7,CA,ON,Windsor,42.2957,-82.9599
4519555,00:03.9,CA,ON,Waterloo,43.4663,-80.5402
4519604,00:04.2,CA,ON,Kitchener,43.4193,-80.3826
4519633,00:04.3,CA,ON,London,42.9699,-81.2081
4519710,00:04.4,CA,ON,Kitchener,43.2994,-80.4496
4519736,00:01.9,CA,ON,Kitchener,43.4381,-80.5099
4519766,00:02.1,CA,ON,Windsor,42.2545,-82.9809
4519856,00:02.1,CA,ON,Kitchener,43.4453,-80.4905
4519930,00:02.3,CA,ON,London,43.0004,-81.2343
4520019,00:02.4,CA,ON,Guelph,43.5776,-80.2201
4520085,00:02.4,CA,ON,Windsor,42.2654,-83.0261
4520130,00:02.5,CA,ON,London,43.0091,-81.1765
4520149,00:02.5,CA,ON,Guelph,43.5776,-80.2201
4520192,00:02.7,CA,ON,Guelph,43.5776,-80.2201
4520202,00:02.4,CA,ON,Windsor,42.2654,-83.0261
4520296,00:03.4,CA,ON,London,43.0091,-81.1765
4520345,00:03.6,CA,ON,Windsor,42.2654,-83.0261
4520349,00:03.8,CA,ON,Kitchener,43.4553,-80.4845
4520395,00:04.0,CA,ON,Kitchener,43.4397,-80.434
4520446,00:04.4,CA,ON,London,43.0061,-81.2962
4520494,00:03.6,CA,ON,Windsor,42.2654,-83.0261
4520587,00:04.8,CA,ON,Chatham,42.3778,-82.1897
4520685,00:04.9,CA,ON,Kitchener,43.4193,-80.3826
4520740,00:04.9,CA,ON,Kitchener,43.4193,-80.3826
4520751,00:05.0,CA,ON,London,42.993,-81.169
4520821,00:05.1,CA,ON,Sarnia,42.96866,-82.40455
4520907,00:05.7,CA,ON,London,43.0091,-81.1765
4520995,00:05.7,CA,ON,London,43.0091,-81.1765
4521090,00:06.1,CA,ON,Windsor,42.2545,-82.9809
4521119,00:06.1,CA,ON,Kitchener,43.4381,-80.5099
4521184,00:06.1,CA,ON,London,42.9923,-81.2531
4521232,00:06.1,CA,ON,Windsor,42.2545,-82.9809
4521259,00:06.6,CA,ON,London,43.0061,-81.2962
4521353,00:06.7,CA,ON,Windsor,42.3159,-83.0311
4521387,00:02.2,CA,ON,Kitchener,43.4453,-80.4905
4521468,00:02.3,CA,ON,Kitchener,43.4453,-80.4905
